route_name,start_stop,end_stop,departure_time,travel_duration_min,passenger_count,day_of_week,is_peak_hour
Ride,Mexico,Harmony,11:20,19,44,Wed,True
Anbessa Route 5,Kazanchis,Piazza,13:36,36,26,Sun,False
Ride,Sarbet,Bole,16:17,114,18,Wed,False
Ride,Mexico,Gulele,11:47,27,44,Mon,True
Gelila,Sarbet,Kality,19:11,79,38,Sat,False
Gelila,Cemit,Bole,06:36,30,48,Mon,False
Gelila,Ayat,Harmony,19:37,119,27,Sun,True
Ride,Sarbet,Harmony,12:13,100,21,Mon,True
Ride,Cemit,Kality,07:00,78,28,Sat,True
Anbessa Route 5,Sarbet,Gulele,11:02,46,57,Tue,True
Blue Star,Kazanchis,Bole,10:43,94,31,Thu,False
Gelila,Kazanchis,Bole,16:12,65,58,Sun,False
Habesha,Kazanchis,Gulele,07:16,93,24,Wed,False
Anbessa Route 5,Kazanchis,Gulele,06:10,72,10,Fri,True
Anbessa Route 5,Mexico,Gulele,09:09,60,11,Sun,False
Anbessa Route 1,Kazanchis,Harmony,18:47,66,17,Mon,False
Gelila,Kazanchis,Kality,07:16,77,31,Tue,False
Anbessa Route 5,Mexico,Gulele,11:51,90,34,Sat,True
Anbessa Route 1,Kazanchis,Kality,15:12,74,11,Tue,True
Habesha,Cemit,Piazza,17:46,79,18,Tue,True
Habesha,Cemit,Bole,12:26,95,18,Sat,False
Gelila,Leghar,Bole,11:52,119,22,Fri,False
Ride,Cemit,Lideta,15:27,69,15,Sat,False
Anbessa Route 1,Ayat,Piazza,18:11,71,39,Fri,False
Ride,Ayat,Gulele,17:27,106,24,Sat,True
Habesha,Ayat,Gulele,07:36,85,24,Mon,False
Habesha,Mexico,Harmony,14:56,87,59,Fri,False
Blue Star,Cemit,Piazza,07:22,100,16,Mon,True
Blue Star,Ayat,Gulele,15:51,40,20,Sun,True
Blue Star,Leghar,Lideta,18:28,26,49,Fri,False
Blue Star,Mexico,Kality,08:10,85,47,Fri,True
Anbessa Route 5,Leghar,Bole,06:50,60,49,Sat,True
Blue Star,Cemit,Piazza,16:08,61,11,Fri,False
Anbessa Route 5,Kazanchis,Bole,19:08,93,57,Mon,False
Anbessa Route 5,Leghar,Kality,12:47,52,48,Sun,True
Gelila,Kazanchis,Piazza,08:28,35,19,Sat,False
Anbessa Route 5,Mexico,Kality,08:35,28,53,Wed,False
Anbessa Route 5,Leghar,Gulele,12:54,16,26,Sun,False
Blue Star,Leghar,Gulele,17:43,86,16,Sun,True
Anbessa Route 5,Sarbet,Gulele,19:17,84,49,Mon,False
Ride,Mexico,Kality,17:04,115,48,Sun,False
Blue Star,Mexico,Kality,12:54,115,13,Wed,False
Anbessa Route 1,Ayat,Kality,11:25,47,44,Tue,True
Blue Star,Cemit,Bole,15:11,119,56,Sat,True
Anbessa Route 5,Leghar,Kality,13:18,20,45,Tue,False
Ride,Leghar,Gulele,06:02,104,40,Sat,True
Blue Star,Mexico,Lideta,16:17,117,34,Sun,False
Ride,Mexico,Kality,07:29,119,50,Sat,True
Anbessa Route 1,Cemit,Lideta,19:01,51,22,Mon,True
Habesha,Mexico,Gulele,10:28,28,27,Wed,False
Anbessa Route 1,Kazanchis,Kality,06:41,51,30,Sat,True
Habesha,Kazanchis,Bole,09:29,22,57,Wed,False
